"UNITID","CIPCODE","EFNRALM","EFNRALW","EFBKAAM","EFBKAAW","EFAIANM","EFAIANW","DVEFAIM","DVEFAIW","EFHISPM","EFHISPW","EFWHITM","EFWHITW","EFUNKNM","EFUNKNW"
102614,13,4,1,2,3,9,91,1,8,0,9,19,128,3,9
102614,14,6,0,8,0,18,4,8,2,4,4,187,37,8,4
102614,26,2,0,1,1,5,21,5,7,2,5,54,132,1,16
102614,27,0,0,1,0,1,1,0,2,1,2,23,14,0,0
102614,40,0,3,0,0,3,5,1,2,2,2,66,43,5,4
102614,52,5,1,2,15,21,54,6,13,2,13,82,167,11,13
102632,13,0,1,0,1,6,32,0,2,0,1,9,51,1,9
102632,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0
102632,26,0,0,2,1,6,9,1,3,0,5,34,55,3,9
102632,52,2,5,2,2,24,42,7,19,1,3,63,106,15,10
102669,13,0,0,2,0,1,14,1,3,0,3,7,36,0,2
102669,52,0,0,3,2,4,38,0,4,2,1,24,37,1,1
102845,14,0,0,15,8,12,4,21,14,11,3,113,35,2,0
102845,52,0,0,4,12,1,15,4,16,0,5,16,75,0,4
103440,13,0,0,1,0,2,7,2,1,0,1,5,11,0,0
103440,26,0,0,0,0,3,4,0,0,0,1,9,20,0,0
103440,52,0,0,0,0,2,6,0,0,0,1,4,1,0,0
103787,13,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
104090,52,0,0,10,33,6,22,0,1,19,64,20,67,2,5
104151,13,6,21,17,52,15,37,11,49,73,260,357,1391,17,43
104151,14,209,53,73,35,76,42,240,102,306,136,2058,425,117,22
104151,26,15,12,16,39,8,36,54,63,63,125,522,745,31,45
104151,27,7,3,5,2,1,4,9,8,15,8,98,51,3,3
104151,40,2,1,3,6,3,9,10,11,19,16,160,99,10,5
104151,52,271,121,88,68,46,61,215,228,320,324,2879,1888,141,113
104179,13,1,4,6,20,4,9,6,22,60,201,149,549,11,25
104179,14,226,42,51,23,31,17,142,45,283,76,1164,235,63,15
104179,26,11,20,20,33,13,46,74,130,86,162,410,716,29,43
104179,27,9,4,0,2,3,1,6,2,7,6,73,34,6,3
104179,40,19,19,7,5,7,6,15,10,44,27,303,162,18,16
104179,52,116,72,14,15,4,7,67,61,123,128,646,397,15,12
104364,52,0,0,2,5,0,11,0,0,11,14,12,21,0,0
104531,52,NA,NA,13,15,NA,21,4,9,34,47,147,111,NA,NA
104586,14,17,NA,NA,NA,NA,NA,29,NA,NA,NA,327,54,32,7
104717,13,NA,3,NA,NA,NA,NA,NA,NA,4,15,42,135,19,54
104717,26,NA,NA,NA,8,NA,NA,NA,NA,NA,12,23,61,NA,26
104717,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
104717,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104717,52,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,50,32,117,52
105330,13,NA,NA,15,19,41,165,8,20,78,259,428,1513,NA,12
105330,14,14,NA,4,NA,57,16,NA,NA,22,NA,325,61,NA,NA
105330,26,NA,NA,NA,NA,7,20,6,NA,11,NA,136,196,3,NA
105330,27,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,23,NA,NA,NA
105330,40,NA,NA,3,2,NA,NA,5,NA,8,NA,149,107,NA,NA
105330,52,45,55,25,21,46,101,25,17,95,107,938,669,11,6
105367,13,0,0,3,12,0,2,1,5,7,24,28,165,13,102
105367,52,0,0,3,3,2,7,1,1,5,7,32,54,21,14
105516,52,31,49,29,50,6,17,8,18,53,65,244,313,993,1375
105589,13,NA,NA,NA,2,NA,12,NA,NA,NA,NA,57,69,4,NA
105589,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,6,NA,NA
105589,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
105589,52,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
105899,13,NA,0,1,1,0,0,0,0,4,6,18,58,0,0
105899,52,0,1,2,1,0,0,0,0,1,0,15,16,0,0
106050,52,NA,NA,NA,11,NA,3,NA,1,NA,34,2,97,NA,2
106102,52,20,9,21,26,2,4,15,13,35,51,189,251,83,93
