"UNITID","CIPCODE","EFAIANM","EFAIANW","EFBKAAM","EFBKAAW","EFHISPM","EFHISPW","EFWHITM","EFWHITW","EFUNKNM","EFUNKNW","EFNRALM","EFNRALW","DVEFAIM","DVEFAIW"
100830,13,0,0,10,131,0,2,25,165,1,1,0,0,0,1
100830,26,1,2,22,194,2,4,39,83,2,1,9,6,3,12
100830,27,0,0,24,5,3,0,35,9,1,0,11,1,3,1
100830,40,0,0,9,30,0,0,12,25,0,0,0,2,2,0
100830,52,1,4,90,177,4,5,183,133,6,5,85,20,9,11
100858,13,3,3,7,36,4,23,139,821,0,2,0,5,3,7
100858,14,20,3,152,81,138,42,3543,793,19,7,240,40,135,45
100858,26,1,3,63,89,23,44,527,924,3,1,12,11,28,29
100858,27,1,1,5,6,4,1,69,49,1,0,28,10,0,2
100858,40,0,0,2,5,4,3,107,83,0,1,5,8,3,3
100858,52,8,6,137,75,85,59,2514,1571,11,6,292,167,56,34
100937,13,0,0,0,5,0,1,3,25,0,0,0,0,0,0
100937,14,0,0,2,0,0,0,6,0,0,0,0,0,0,0
100937,26,0,0,2,7,0,0,21,30,0,0,1,0,1,5
100937,27,0,0,0,0,0,1,16,14,0,0,2,0,0,1
100937,40,0,0,3,0,0,0,17,10,1,0,0,0,0,2
100937,52,1,0,8,9,3,1,109,41,0,0,2,1,1,4
101116,52,0,0,7,17,0,1,3,1,0,0,0,0,0,1
101189,13,4,5,54,153,10,10,144,201,2,2,0,2,4,4
101189,26,0,0,12,21,3,3,17,27,0,0,0,0,0,2
101189,27,0,0,1,1,2,0,3,9,0,0,0,1,0,0
101189,52,3,3,80,362,5,5,132,143,12,12,26,3,3,3
101365,52,0,0,1,12,0,1,1,5,0,2,0,0,0,0
101435,13,0,0,9,8,1,3,38,46,1,1,0,0,0,0
101435,26,0,0,11,8,1,6,34,52,1,1,1,0,1,1
101435,27,0,0,8,1,2,0,9,4,0,0,0,0,0,0
101435,40,0,0,1,2,0,1,4,10,0,0,0,0,0,0
101435,52,2,1,26,49,8,10,110,91,3,2,0,0,2,3
101480,13,1,2,20,36,1,3,48,347,2,10,0,0,0,0
101480,26,1,0,19,42,1,1,100,155,12,27,3,4,3,5
101480,27,0,0,3,2,1,0,16,23,3,2,0,0,0,1
101480,40,0,0,1,4,0,0,11,22,4,0,1,1,0,0
101480,52,2,2,76,62,7,4,299,244,29,20,26,21,3,3
101541,13,0,1,0,4,0,0,0,35,0,0,0,0,0,0
101541,26,0,0,0,7,0,1,0,32,0,1,0,0,0,0
101541,27,0,0,0,0,0,0,0,3,0,0,0,0,0,0
101541,40,0,0,0,1,0,0,0,10,0,0,0,0,0,0
101541,52,0,1,0,4,0,0,0,13,0,0,0,0,0,0
